"route","file","fragment","category","severity","reason","recommendation"
"/digitalizare-imm","digitalizare-imm.html","Sursa oficială: Ministerul Investițiilor și Proiectelor Europene — Ordinul MIPE nr. 607/28.04.2026; modifică Ghidul aprobat prin Ordinul nr. 3185/2022.","concluzie_repetitivă","medie","Concluzia reia vocabularul introducerii (79% suprapunere) fără o decizie sau un pas nou.","Încheie cu documentul care trebuie verificat, o limită factuală sau următorul pas procedural."
"/digitalizare-imm-erp-crm-cloud","digitalizare-imm-erp-crm-cloud.html","ERP, CRM, cloud și echipamentele IT se justifică prin procese, utilizatori și rezultate. Eligibilitatea depinde de ghidul apelului.

ERP-ul, CRM-ul și cloud-ul trebuie explicate prin procese reale, nu prin jargon IT. Oferta trebuie să arate ce se livrează, ce problemă rezolvă, cum se implementează și cum se leagă de activitatea firmei.

ERP, CRM, cloud și echipamente IT pot fi eligibile în anumite condiții, dar fiecare apel are propriile reguli. Ghidul activ decide ce se poate include și ce documente sunt necesare.","început_repetat_de_paragraf","medie","Trei paragrafe succesive încep cu aceeași structură, semn al unei redactări mecanice.","Reordonează paragrafele după criteriu, dovadă și consecință; variază începutul numai când logica o cere."
"/dr12-afir","dr12-afir/index.html","Informația este bazată pe versiunea consultativă; condițiile se pot modifica înaintea ghidului final și a deschiderii apelului.","concluzie_repetitivă","medie","Concluzia reia vocabularul introducerii (71% suprapunere) fără o decizie sau un pas nou.","Încheie cu documentul care trebuie verificat, o limită factuală sau următorul pas procedural."
"/dr12-afir","dr12-afir/index.html","Sursa oficială: Agenția pentru Finanțarea Investițiilor Rurale (AFIR) — Versiune consultativă publicată la 19.03.2026.","concluzie_repetitivă","medie","Concluzia reia vocabularul introducerii (73% suprapunere) fără o decizie sau un pas nou.","Încheie cu documentul care trebuie verificat, o limită factuală sau următorul pas procedural."
"/dr14","dr14/index.html","Sursa oficială: Agenția pentru Finanțarea Investițiilor Rurale (AFIR) — Ghidul Solicitantului DR 14 – varianta finală, Sesiunea 2026, publicat la 06.08.2026.","concluzie_repetitivă","medie","Concluzia reia vocabularul introducerii (78% suprapunere) fără o decizie sau un pas nou.","Încheie cu documentul care trebuie verificat, o limită factuală sau următorul pas procedural."
"/fonduri-europene-caen/4321-instalatii-electrice","fonduri-europene-caen/4321-instalatii-electrice/index.html","programe regionale pentru IMM; Fondul pentru Modernizare, dacă solicitantul și proiectul se încadrează; Digitalizare IMM","concluzie_repetitivă","medie","Concluzia reia vocabularul introducerii (100% suprapunere) fără o decizie sau un pas nou.","Încheie cu documentul care trebuie verificat, o limită factuală sau următorul pas procedural."
"/fonduri-europene-caen/5610-restaurante","fonduri-europene-caen/5610-restaurante/index.html","programe regionale pentru IMM; Start-Up Nation; eficiență energetică și digitalizare, dacă apelul permite","concluzie_repetitivă","medie","Concluzia reia vocabularul introducerii (100% suprapunere) fără o decizie sau un pas nou.","Încheie cu documentul care trebuie verificat, o limită factuală sau următorul pas procedural."
"/fonduri-europene-nord-est","fonduri-europene-nord-est/index.html","Un proiect din Iași, Suceava, Bacău, Botosani, Neamt sau Vaslui nu intra automat într-un program regional. Dacă investiția este agricolă sau rurală, AFIR poate fi ruta principală. Dacă investiția este digitalizare, energie sau antreprenoriat, poate fi mai potrivit un program national. Dacă investiția este productiva pentru o microintreprindere sau IMM local, merită verificat Programul Regional Nord-Est și apelurile active.","propoziții_simetrice","scăzută","Trei propoziții din același paragraf pornesc cu aceeași structură și creează un ritm mecanic.","Grupează informația după decizia practică, nu după o structură sintactică repetată."
"/gal-afir","gal-afir/index.html","Sursa oficială: Agenția pentru Finanțarea Investițiilor Rurale (AFIR) — Pagina oficială AFIR LEADER și documentele DR-36.","concluzie_repetitivă","medie","Concluzia reia vocabularul introducerii (67% suprapunere) fără o decizie sau un pas nou.","Încheie cu documentul care trebuie verificat, o limită factuală sau următorul pas procedural."
"/gal-afir","gal-afir/index.html","Verificare pentru GAL-AFIR / LEADER

Verificare pentru GAL-AFIR / LEADER

Verificare pentru GAL-AFIR / LEADER","început_repetat_de_paragraf","medie","Trei paragrafe succesive încep cu aceeași structură, semn al unei redactări mecanice.","Reordonează paragrafele după criteriu, dovadă și consecință; variază începutul numai când logica o cere."
"/ghiduri","ghiduri/index.html","Un fermier are nevoie de documente diferite față de un IMM din servicii sau față de un start-up. De aceea, resursele trebuie citite prin filtrul beneficiarului, nu doar prin titlul programului. O pagină despre agricultură trebuie să ajungă la SO/SOC, acte de folosință și investiții agricole. O pagină despre digitalizare trebuie să ajungă la procese, hardware, software, securitate și indicatori. O pagină despre programe regionale trebuie să verifice regiunea, codul CAEN, punctul de lucru și cheltuielile productive.","propoziții_simetrice","scăzută","Trei propoziții din același paragraf pornesc cu aceeași structură și creează un ritm mecanic.","Grupează informația după decizia practică, nu după o structură sintactică repetată."
"/intrebari/ce-cheltuieli-sunt-eligibile-la-digitalizare-imm","intrebari/ce-cheltuieli-sunt-eligibile-la-digitalizare-imm/index.html","Pot fi eligibile software, echipamente IT, servicii cloud, securitate cibernetică, implementare și instruire, dacă sunt permise de apel și justificate prin proiect.","concluzie_repetitivă","medie","Concluzia reia vocabularul introducerii (100% suprapunere) fără o decizie sau un pas nou.","Încheie cu documentul care trebuie verificat, o limită factuală sau următorul pas procedural."
"/intrebari/ce-documente-sunt-necesare-pentru-dr12","intrebari/ce-documente-sunt-necesare-pentru-dr12/index.html","Pentru DR12 sunt importante documentele solicitantului, exploatației, calculul SO, actele privind terenurile sau animalele, ofertele, bugetul și declaratiile cerute de apel.","concluzie_repetitivă","medie","Concluzia reia vocabularul introducerii (100% suprapunere) fără o decizie sau un pas nou.","Încheie cu documentul care trebuie verificat, o limită factuală sau următorul pas procedural."
"/intrebari/cum-se-calculeaza-cofinantarea-la-fonduri-europene","intrebari/cum-se-calculeaza-cofinantarea-la-fonduri-europene/index.html","Cofinantarea se calculează pornind de la valoarea eligibilă, procentul nerambursabil și cheltuielile neeligibile, care trebuie acoperite separat de beneficiar.","concluzie_repetitivă","medie","Concluzia reia vocabularul introducerii (100% suprapunere) fără o decizie sau un pas nou.","Încheie cu documentul care trebuie verificat, o limită factuală sau următorul pas procedural."
"/pnrr-digitalizare-imm-cheltuieli-eligibile","pnrr-digitalizare-imm-cheltuieli-eligibile.html","Fără această analiză, proiectul devine superficial. Poți cumpăra un CRM, dar dacă nu ai proces de vânzare, nu îl vei folosi. Poți cumpăra un ERP, dar dacă nu ai fluxuri clare, implementarea va fi grea. Poți cumpăra echipamente IT, dar dacă nu există politici de securitate, riscul operațional rămâne.","propoziții_simetrice","scăzută","Trei propoziții din același paragraf pornesc cu aceeași structură și creează un ritm mecanic.","Grupează informația după decizia practică, nu după o structură sintactică repetată."
"/pocidif-21","pocidif-21/index.html","Apelul finanțează proiecte ale IMM-urilor TIC care dezvoltă prin cercetare, dezvoltare și inovare servicii, aplicații sau produse noi ori semnificativ îmbunătățite, folosesc tehnologii avansate și includ introducerea rezultatului pe piață.","enumerare_abstractă","medie","Paragraful acumulează concepte abstracte, dar nu indică un criteriu, un document, o limită sau un exemplu verificabil.","Păstrează numai ideile necesare și leagă fiecare afirmație de un criteriu, document sau exemplu de necorelare."
"/pro-infra","pro-infra.html","Schema este aprobată, dar depunerea nu este deschisă. Valorile și calendarul apelului nu se publică până la apariția documentelor operaționale oficiale.","concluzie_repetitivă","medie","Concluzia reia vocabularul introducerii (93% suprapunere) fără o decizie sau un pas nou.","Încheie cu documentul care trebuie verificat, o limită factuală sau următorul pas procedural."
"/pro-infra","pro-infra.html","Sursa oficială: Ministerul Transporturilor și Infrastructurii — Ordinul MTI nr. 2.292/29.12.2025, publicat în Monitorul Oficial nr. 20/14.01.2026; formă consolidată 12.02.2026.","concluzie_repetitivă","medie","Concluzia reia vocabularul introducerii (79% suprapunere) fără o decizie sau un pas nou.","Încheie cu documentul care trebuie verificat, o limită factuală sau următorul pas procedural."
