"route","raw_page","clicks","impressions","ctr","position","opportunity","suggested_action"
"/cum-alegi-programul-potrivit-fonduri-europene-2026","https://atelierdeconsultanta.ro/cum-alegi-programul-potrivit-fonduri-europene-2026.html","2","44","4.55","5.93","35.24","Funnel informativ: raspuns scurt, checklist practic si link catre serviciul comercial."
"/blog","https://atelierdeconsultanta.ro/blog","1","45","2.22","6.89","33.4","Hub/serviciu: intareste intentia principala, linkurile interne si blocurile de incredere."
"/blog","https://atelierdeconsultanta.ro/blog.html?post=blog-1","0","26","0","4.5","24.92","Hub/serviciu: intareste intentia principala, linkurile interne si blocurile de incredere."
"/pro-infra","https://atelierdeconsultanta.ro/pro-infra","2","36","5.56","7.5","24.08","Hub/serviciu: intareste intentia principala, linkurile interne si blocurile de incredere."
"/por-adr-nord-est","https://atelierdeconsultanta.ro/por-adr-nord-est","1","35","2.86","7.69","23.54","Regional: consolideaza unghiul local Nord-Est, RIS3 si documentele ADR."
"/investitii-modernizarea-microintreprinderilor-apel-2","https://atelierdeconsultanta.ro/investitii-modernizarea-microintreprinderilor-apel-2","0","29","0","6.48","23.01","Hub/serviciu: intareste intentia principala, linkurile interne si blocurile de incredere."
"/consultanta-fonduri-europene","https://atelierdeconsultanta.ro/consultanta-fonduri-europene","0","24","0","5.08","21.84","Hub/serviciu: intareste intentia principala, linkurile interne si blocurile de incredere."
"/","http://atelierdeconsultanta.ro/","2","31","6.45","7.48","20.59","Hub/serviciu: intareste intentia principala, linkurile interne si blocurile de incredere."
"/acte-necesare-fonduri-europene-nerambursabile","https://atelierdeconsultanta.ro/acte-necesare-fonduri-europene-nerambursabile","0","27","0","6.85","20.59","Funnel informativ: raspuns scurt, checklist practic si link catre serviciul comercial."
"/calendar-fonduri-europene","https://atelierdeconsultanta.ro/calendar-fonduri-europene","0","31","0","8.61","19.09","Hub/serviciu: intareste intentia principala, linkurile interne si blocurile de incredere."
"/dr-14-afir-conditii-eligibilitate-greseli-frecvente","https://atelierdeconsultanta.ro/dr-14-afir-conditii-eligibilitate-greseli-frecvente","1","32","3.12","9.59","16.56","AFIR cluster: checklist, SO/SOC, documente agricole, link catre hub AFIR si consultanta."
"/fonduri-europene","https://atelierdeconsultanta.ro/fonduri-europene","0","24","0","7.96","16.08","Hub/serviciu: intareste intentia principala, linkurile interne si blocurile de incredere."
"/pro-infra","https://atelierdeconsultanta.ro/pro-infra.html","0","27","0","9.11","15.5","Hub/serviciu: intareste intentia principala, linkurile interne si blocurile de incredere."
"/gal-afir","https://atelierdeconsultanta.ro/gal-afir","0","17","0","5.94","14.25","AFIR cluster: checklist, SO/SOC, documente agricole, link catre hub AFIR si consultanta."
"/consultanta-start-up-nation-2026","https://atelierdeconsultanta.ro/consultanta-start-up-nation-2026","0","14","0","4.29","13.66","Start-Up Nation: separa pagina principala de articole suport si mentine CTA de verificare."
"/fonduri-europene-nerambursabile-2026","https://atelierdeconsultanta.ro/fonduri-europene-nerambursabile-2026/","0","17","0","6.47","13.5","Hub/serviciu: intareste intentia principala, linkurile interne si blocurile de incredere."
"/dr-14-afir-conditii-eligibilitate-greseli-frecvente","https://atelierdeconsultanta.ro/dr-14-afir-conditii-eligibilitate-greseli-frecvente.html","2","24","8.33","8.83","13.15","AFIR cluster: checklist, SO/SOC, documente agricole, link catre hub AFIR si consultanta."
"/fondul-de-modernizare","https://atelierdeconsultanta.ro/fondul-de-modernizare","0","18","0","7.83","12.26","Hub/serviciu: intareste intentia principala, linkurile interne si blocurile de incredere."
"/e-move","https://atelierdeconsultanta.ro/e-move","3","16","18.75","6.94","9.81","Hub/serviciu: intareste intentia principala, linkurile interne si blocurile de incredere."
"/pnrr","https://atelierdeconsultanta.ro/pnrr","0","11","0","7.27","8","PNRR/digitalizare: clarifica buget, cheltuieli, indicatori si sursa oficiala."
"/afir","https://atelierdeconsultanta.ro/afir","0","10","0","7","7.5","AFIR cluster: checklist, SO/SOC, documente agricole, link catre hub AFIR si consultanta."
"/politica-de-confidentialitate","https://atelierdeconsultanta.ro/politica-de-confidentialitate","0","8","0","4.88","7.41","Hub/serviciu: intareste intentia principala, linkurile interne si blocurile de incredere."
"/ce-acte-sunt-necesare-fonduri-europene","https://atelierdeconsultanta.ro/ce-acte-sunt-necesare-fonduri-europene","0","8","0","5.38","7.08","Funnel informativ: raspuns scurt, checklist practic si link catre serviciul comercial."
"/fonduri-europene-nerambursabile-2026","https://atelierdeconsultanta.ro/fonduri-europene-nerambursabile-2026","1","8","12.5","4.38","6.78","Hub/serviciu: intareste intentia principala, linkurile interne si blocurile de incredere."
"/start-up-nation-2026-idei-afaceri","https://atelierdeconsultanta.ro/start-up-nation-2026-idei-afaceri-plan.html","3","58","5.17","14.6","6.42","Start-Up Nation: separa pagina principala de articole suport si mentine CTA de verificare."
"/fondul-modernizare-energie-regenerabila-2026","https://atelierdeconsultanta.ro/fondul-modernizare-energie-regenerabila-2026","0","11","0","9","6.42","Hub/serviciu: intareste intentia principala, linkurile interne si blocurile de incredere."
"/despre-faber","https://atelierdeconsultanta.ro/despre-faber","0","7","0","5.14","6.33","Hub/serviciu: intareste intentia principala, linkurile interne si blocurile de incredere."
"/cum-se-verifica-eligibilitatea-fonduri-europene","https://atelierdeconsultanta.ro/cum-se-verifica-eligibilitatea-fonduri-europene","0","8","0","6.75","6.17","Funnel informativ: raspuns scurt, checklist practic si link catre serviciul comercial."
"/dr12-afir","https://atelierdeconsultanta.ro/dr12-afir-tineri-fermieri","3","14","21.43","10.29","5.23","AFIR cluster: checklist, SO/SOC, documente agricole, link catre hub AFIR si consultanta."
"/contact","https://atelierdeconsultanta.ro/contact/","0","8","0","8.88","4.75","Hub/serviciu: intareste intentia principala, linkurile interne si blocurile de incredere."
"/granturi-digitalizare-imm","https://atelierdeconsultanta.ro/granturi-digitalizare-imm","0","6","0","7.83","4.09","PNRR/digitalizare: clarifica buget, cheltuieli, indicatori si sursa oficiala."
"/fondul-de-modernizare-finantari-energie-fotovoltaice-autoconsum","https://atelierdeconsultanta.ro/fondul-de-modernizare-finantari-energie-fotovoltaice-autoconsum","0","9","0","10.56","4.08","Hub/serviciu: intareste intentia principala, linkurile interne si blocurile de incredere."
"/autoconsum-public-fotovoltaice-institutii-publice","https://atelierdeconsultanta.ro/autoconsum-public-fotovoltaice-institutii-publice","1","7","14.29","8","4","Hub/serviciu: intareste intentia principala, linkurile interne si blocurile de incredere."
"/fonduri-europene-nord-est","https://atelierdeconsultanta.ro/fonduri-europene-nord-est","0","16","0","13.12","3.84","Regional: consolideaza unghiul local Nord-Est, RIS3 si documentele ADR."
"/consultanta-afir","https://atelierdeconsultanta.ro/consultanta-afir/","0","5","0","6.8","3.83","AFIR cluster: checklist, SO/SOC, documente agricole, link catre hub AFIR si consultanta."
"/cat-costa-consultanta-fonduri-europene-ghid","https://atelierdeconsultanta.ro/cat-costa-consultanta-fonduri-europene-ghid","0","5","0","7","3.75","Hub/serviciu: intareste intentia principala, linkurile interne si blocurile de incredere."
"/blog-afir-fotovoltaice-ferme-2026","https://atelierdeconsultanta.ro/blog-afir-fotovoltaice-ferme-2026","0","5","0","7.6","3.5","AFIR cluster: checklist, SO/SOC, documente agricole, link catre hub AFIR si consultanta."
"/intrebari-frecvente","https://atelierdeconsultanta.ro/intrebari-frecvente","0","4","0","5.75","3.42","Hub/serviciu: intareste intentia principala, linkurile interne si blocurile de incredere."
"/cand-merita-consultant-fonduri-europene","https://atelierdeconsultanta.ro/cand-merita-consultant-fonduri-europene","0","4","0","6.25","3.25","Hub/serviciu: intareste intentia principala, linkurile interne si blocurile de incredere."
"/apeluri-gal","https://atelierdeconsultanta.ro/apeluri-gal","0","4","0","7","3","Hub/serviciu: intareste intentia principala, linkurile interne si blocurile de incredere."
"/blog","https://atelierdeconsultanta.ro/blog.html","0","3","0","4","3","Hub/serviciu: intareste intentia principala, linkurile interne si blocurile de incredere."
"/start-up-nation-2026","https://atelierdeconsultanta.ro/start-up-nation/","0","3","0","4","3","Start-Up Nation: separa pagina principala de articole suport si mentine CTA de verificare."
"/dr12-vs-dr14","https://atelierdeconsultanta.ro/dr12-vs-dr14","0","3","0","4.67","2.83","AFIR cluster: checklist, SO/SOC, documente agricole, link catre hub AFIR si consultanta."
"/politica-de-confidentialitate","https://atelierdeconsultanta.ro/politica-de-confidentialitate.html","0","3","0","5.67","2.58","Hub/serviciu: intareste intentia principala, linkurile interne si blocurile de incredere."
"/consultanta-fonduri-europene","https://atelierdeconsultanta.ro/consultanta-fonduri-europene/","0","20","0","14.65","2.25","Hub/serviciu: intareste intentia principala, linkurile interne si blocurile de incredere."
"/cat-costa-consultanta-fonduri-europene","https://atelierdeconsultanta.ro/cat-costa-consultanta-fonduri-europene","0","3","0","8.33","1.92","Hub/serviciu: intareste intentia principala, linkurile interne si blocurile de incredere."
"/instrumente","https://atelierdeconsultanta.ro/instrumente","0","2","0","4.5","1.92","Hub/serviciu: intareste intentia principala, linkurile interne si blocurile de incredere."
"/consultanta-pnrr-digitalizare","https://atelierdeconsultanta.ro/consultanta-pnrr-digitalizare/","0","2","0","5.5","1.75","PNRR/digitalizare: clarifica buget, cheltuieli, indicatori si sursa oficiala."
"/start-up-nation-2026-cheltuieli-eligibile","https://atelierdeconsultanta.ro/cheltuieli-eligibile-startup-nation","0","2","0","6","1.67","Start-Up Nation: separa pagina principala de articole suport si mentine CTA de verificare."
"/fonduri-europene-femei-antreprenor","https://atelierdeconsultanta.ro/fonduri-europene-femei-antreprenor/","0","2","0","7","1.5","Hub/serviciu: intareste intentia principala, linkurile interne si blocurile de incredere."
"/webinarii","https://atelierdeconsultanta.ro/webinarii","0","2","0","8","1.33","Hub/serviciu: intareste intentia principala, linkurile interne si blocurile de incredere."
"/consultanta-fonduri-europene-bucuresti","https://atelierdeconsultanta.ro/consultanta-fonduri-europene-bucuresti","0","2","0","8.5","1.25","Hub/serviciu: intareste intentia principala, linkurile interne si blocurile de incredere."
"/calendar-fonduri-europene","https://atelierdeconsultanta.ro/calendar-fonduri-europene/","0","5","0","13.2","1.17","Hub/serviciu: intareste intentia principala, linkurile interne si blocurile de incredere."
"/testimoniale","https://atelierdeconsultanta.ro/testimoniale","0","1","0","4","1","Hub/serviciu: intareste intentia principala, linkurile interne si blocurile de incredere."
"/cum-alegi-consultant-fonduri-europene","https://atelierdeconsultanta.ro/cum-alegi-consultant-fonduri-europene/","0","1","0","5","0.92","Funnel informativ: raspuns scurt, checklist practic si link catre serviciul comercial."
"/eligibilitate-fonduri-europene","https://atelierdeconsultanta.ro/eligibilitate-fonduri-europene","0","1","0","5","0.92","Funnel informativ: raspuns scurt, checklist practic si link catre serviciul comercial."
"/studii-de-caz-fonduri-europene","https://atelierdeconsultanta.ro/studii-de-caz-fonduri-europene","0","6","0","14.33","0.84","Hub/serviciu: intareste intentia principala, linkurile interne si blocurile de incredere."
"/cum-alegi-consultant-fonduri-europene","https://atelierdeconsultanta.ro/cum-alegi-consultant-fonduri-europene","0","1","0","8","0.67","Funnel informativ: raspuns scurt, checklist practic si link catre serviciul comercial."
"/cum-se-calculeaza-cofinantarea-fonduri-europene","https://atelierdeconsultanta.ro/cum-se-calculeaza-cofinantarea-fonduri-europene","0","1","0","8","0.67","Hub/serviciu: intareste intentia principala, linkurile interne si blocurile de incredere."
"/fonduri-europene-agricultura","https://atelierdeconsultanta.ro/fonduri-europene-agricultura","0","1","0","10","0.5","Hub/serviciu: intareste intentia principala, linkurile interne si blocurile de incredere."
"/fonduri-europene-femei-antreprenor","https://atelierdeconsultanta.ro/fonduri-europene-femei-antreprenor","0","1","0","12","0.33","Hub/serviciu: intareste intentia principala, linkurile interne si blocurile de incredere."
