source_route,target,target_scope,link_type,anchor,explanation,outgoing_next_step,incoming_next_step,status
/e-move,/contact,internal,CTA,"Următorul pas Verifică încadrarea proiectului în e-MOVE RO Trimite contextul proiectului pentru o verificare inițială, fără promisiunea eligibilității.","Trimite contextul proiectului pentru o verificare inițială, fără promisiunea eligibilității.",7,423,valid
/femeia-antreprenor-2026,/contact,internal,CTA,"Următorul pas Verifică proiectul pentru Femeia Antreprenor Trimite contextul proiectului pentru o verificare inițială, fără promisiunea eligibilității.","Trimite contextul proiectului pentru o verificare inițială, fără promisiunea eligibilității.",7,423,valid
/fondul-de-modernizare-finantari-energie-fotovoltaice-autoconsum,/contact,internal,CTA,"Următorul pas Verifică proiectul de energie pentru autoconsum Trimite contextul proiectului pentru o verificare inițială, fără promisiunea eligibilității.","Trimite contextul proiectului pentru o verificare inițială, fără promisiunea eligibilității.",7,423,valid
/fondul-modernizare-energie-regenerabila-2026,/contact,internal,CTA,"Următorul pas Verifică proiectul de producție regenerabilă Trimite contextul proiectului pentru o verificare inițială, fără promisiunea eligibilității.","Trimite contextul proiectului pentru o verificare inițială, fără promisiunea eligibilității.",7,423,valid
/fondul-modernizare-pc1-stocare,/contact,internal,CTA,"Următorul pas Verifică proiectul PC1 de stocare stand-alone Trimite contextul proiectului pentru o verificare inițială, fără promisiunea eligibilității.","Trimite contextul proiectului pentru o verificare inițială, fără promisiunea eligibilității.",4,423,valid
/fonduri-regionale,/contact,internal,CTA,"Următorul pas Verifică programul regional potrivit proiectului Trimite contextul proiectului pentru o verificare inițială, fără promisiunea eligibilității.","Trimite contextul proiectului pentru o verificare inițială, fără promisiunea eligibilității.",7,423,valid
/gal-afir,/contact,internal,CTA,"Următorul pas Verifică proiectul pentru traseul GAL-AFIR Trimite contextul proiectului pentru o verificare inițială, fără promisiunea eligibilității.","Trimite contextul proiectului pentru o verificare inițială, fără promisiunea eligibilității.",7,423,valid
/investitii-modernizarea-microintreprinderilor-apel-2,/contact,internal,CTA,"Următorul pas Verifică încadrarea în Apelul 2 pentru microîntreprinderi Trimite contextul proiectului pentru o verificare inițială, fără promisiunea eligibilității.","Trimite contextul proiectului pentru o verificare inițială, fără promisiunea eligibilității.",7,423,valid
/pocidif-21,/contact,internal,CTA,"Următorul pas Verifică încadrarea proiectului în PoCIDIF 2.1 Trimite contextul proiectului pentru o verificare inițială, fără promisiunea eligibilității.","Trimite contextul proiectului pentru o verificare inițială, fără promisiunea eligibilității.",8,423,valid
/pro-infra,/contact,internal,CTA,"Următorul pas Verifică încadrarea proiectului în PRO INFRA Trimite contextul proiectului pentru o verificare inițială, fără promisiunea eligibilității.","Trimite contextul proiectului pentru o verificare inițială, fără promisiunea eligibilității.",5,423,valid
/start-up-nation-2026,/contact,internal,CTA,"Următorul pas Verifică proiectul pentru Start-Up Nation Trimite contextul proiectului pentru o verificare inițială, fără promisiunea eligibilității.","Trimite contextul proiectului pentru o verificare inițială, fără promisiunea eligibilității.",7,423,valid
