"route","query","clicks","impressions","ctr","position","opportunity","matched_by","suggested_action"
"/calculator-soc","afir calcul so","0","2","0","10","1","query hint: calcul so","Calculator SO/SOC: consolideaza intentia calcul SO, explica coeficientii si trimite catre DR12/DR14."
"/dr12-afir","afir dr 12 ghid","0","2","0","10","1","query hint: dr 12","AFIR cluster: checklist, SO/SOC, documente agricole, link catre hub AFIR si consultanta."
"/dr14","dr 14 ghidul solicitantului","0","1","0","5","0.92","query hint: dr 14","AFIR cluster: checklist, SO/SOC, documente agricole, link catre hub AFIR si consultanta."
"/dr12-afir","ghidul solicitantului dr 12","0","1","0","5","0.92","query hint: dr 12","AFIR cluster: checklist, SO/SOC, documente agricole, link catre hub AFIR si consultanta."
"/femeia-antreprenor-2026","cand incepe programul femeia antreprenor 2026","0","2","0","11","0.83","query hint: femeia antreprenor 2026","Femeia Antreprenor: separa programul 2026 de hub-ul general pentru femei antreprenor."
"/femeia-antreprenor-2026","program femeia antreprenor 2026 romania conditii","0","1","0","6","0.83","query hint: femeia antreprenor 2026","Femeia Antreprenor: separa programul 2026 de hub-ul general pentru femei antreprenor."
"/start-up-nation-2026","conditii start up nation 2026","0","1","0","8","0.67","query hint: start up nation 2026","Start-Up Nation: separa pagina principala de articole suport si mentine CTA de verificare."
"/dr14","ghid dr 14 afir 2026","0","1","0","9","0.58","query hint: dr 14","AFIR cluster: checklist, SO/SOC, documente agricole, link catre hub AFIR si consultanta."
"/dr14","ghid dr14","0","1","0","9","0.58","query hint: dr14","AFIR cluster: checklist, SO/SOC, documente agricole, link catre hub AFIR si consultanta."
"/calculator-soc","romania coeficienți standard output so culturi în câmp pe hectar tabel \noficial","0","1","0","9","0.58","query hint: standard output","Calculator SO/SOC: consolideaza intentia calcul SO, explica coeficientii si trimite catre DR12/DR14."
"/dr14","dr 14 afir","0","1","0","10","0.5","query hint: dr 14","AFIR cluster: checklist, SO/SOC, documente agricole, link catre hub AFIR si consultanta."
"/afir","dr12 afir","0","1","0","10","0.5","query hint: afir","AFIR cluster: checklist, SO/SOC, documente agricole, link catre hub AFIR si consultanta."
"/start-up-nation-2026","programul start up nation 2026","0","1","0","10","0.5","query hint: start up nation 2026","Start-Up Nation: separa pagina principala de articole suport si mentine CTA de verificare."
"/femeia-antreprenor-2026","fonduri femeia antreprenor 2026","0","2","0","13.5","0.42","query hint: femeia antreprenor 2026","Femeia Antreprenor: separa programul 2026 de hub-ul general pentru femei antreprenor."
"/femeia-antreprenor-2026","fonduri europene femeia antreprenor 2026","0","1","0","11","0.42","query hint: femeia antreprenor 2026","Femeia Antreprenor: separa programul 2026 de hub-ul general pentru femei antreprenor."
"/fonduri-europene","fonduri europene romania 2026 programe disponibile","0","1","0","11","0.42","query hint: fonduri europene","Hub/serviciu: intareste intentia principala, linkurile interne si blocurile de incredere."
"/femeia-antreprenor-2026","femeia antreprenor 2026 ghid","0","1","0","14","0.17","query hint: femeia antreprenor 2026","Femeia Antreprenor: separa programul 2026 de hub-ul general pentru femei antreprenor."
