route,source,location,before,after,reason
"/digitalizare-imm","config/seo-programs.json","pages.5.contentSections.2.paragraphs.0","Un proiect de digitalizare se verifică prin procese reale: ERP, CRM, cloud, securitate, automatizari și indicatori. PNRR digitalizare și programele regionale pot avea reguli diferite, deci bugetul și cheltuielile trebuie separate pe apelul activ.","Un proiect de digitalizare se verifică prin procese reale: ERP, CRM, cloud, securitate, automatizari și indicatori. PNRR digitalizare și programele regionale pot avea reguli diferite, deci bugetul și cheltuielile trebuie separate pe apelul analizat.","Lexic controlat P0.14"
"/digitalizare-imm","config/seo-programs.json","pages.5.heroPrimaryCta","Verifică eligibilitatea","Cere o verificare inițială","Lexic controlat P0.14"
"/digitalizare-imm","config/seo-programs.json","pages.5.decisionClose","Dacă documentele, bugetul sau condițiile nu se potrivesc, proiectul se ajustează înainte de depunere. Regulile finale se confirmă în ghidul activ, anexele apelului și sursele oficiale.","Dacă documentele, bugetul sau condițiile nu se potrivesc, proiectul se ajustează înainte de depunere. Regulile finale se confirmă în documentul oficial aplicabil, anexele apelului și sursele oficiale.","Lexic controlat P0.14"
"/fonduri-europene","config/seo-programs.json","pages.12.funding","valorile difera pe program și se verifică în apelul activ.","valorile difera pe program și se verifică în apelul analizat.","Lexic controlat P0.14"
"/fonduri-europene","config/seo-programs.json","pages.12.eligibility.4","cofinanțare","contribuție proprie","Lexic controlat P0.14"
"/fonduri-europene","config/seo-programs.json","pages.12.steps.3","calculează cofinanțarea","calculează contribuția proprie","Lexic controlat P0.14"
"/fonduri-europene","config/seo-programs.json","pages.12.contentSections.0.paragraphs.1","Pentru fiecare traseu, regulile finale se confirmă în ghidul activ, anexele apelului și comunicările autorității.","Pentru fiecare traseu, regulile finale se confirmă în documentul oficial aplicabil, anexele apelului și comunicările autorității.","Lexic controlat P0.14"
"/fonduri-europene","config/seo-programs.json","pages.12.contentSections.1.paragraphs.0","Hub-ul central include acum și e-MOVE RO pentru mobilitate electrică, respectiv GAL-AFIR pentru apeluri LEADER dedicate beneficiarilor publici și privați. Fiecare program trebuie confirmat în ghidul activ și în sursele oficiale.","Hub-ul central include acum și e-MOVE RO pentru mobilitate electrică, respectiv GAL-AFIR pentru apeluri LEADER dedicate beneficiarilor publici și privați. Fiecare program trebuie confirmat în documentul oficial aplicabil și în sursele oficiale.","Lexic controlat P0.14"
"/fonduri-europene","config/seo-programs.json","pages.12.heroPrimaryCta","Verifică eligibilitatea","Cere o verificare inițială","Lexic controlat P0.14"
"/fonduri-europene","config/seo-programs.json","pages.12.decisionClose","Dacă documentele, bugetul sau condițiile nu se potrivesc, proiectul se ajustează înainte de depunere. Regulile finale se confirmă în ghidul activ, anexele apelului și sursele oficiale.","Dacă documentele, bugetul sau condițiile nu se potrivesc, proiectul se ajustează înainte de depunere. Regulile finale se confirmă în documentul oficial aplicabil, anexele apelului și sursele oficiale.","Lexic controlat P0.14"
"/fonduri-europene-digitalizare","config/seo-programs.json","pages.15.funding","valorile depind de apelul activ.","valorile depind de apelul analizat.","Lexic controlat P0.14"
"/verificare-eligibilitate-fonduri-europene","config/seo-programs.json","pages.21.title","Verificare eligibilitate fonduri europene","Verificare inițială a eligibilității fonduri europene","Lexic controlat P0.14"
"/verificare-eligibilitate-fonduri-europene","config/seo-programs.json","pages.21.description","Verificare inițială pentru fonduri europene: firmă, CAEN, localitate, investiție, buget, cofinanțare, documente și program potrivit.","Verificare inițială pentru fonduri europene: firmă, CAEN, localitate, investiție, buget, contribuție proprie, documente și program potrivit.","Lexic controlat P0.14"
"/verificare-eligibilitate-fonduri-europene","config/seo-programs.json","pages.21.h1","Verificare eligibilitate pentru fonduri europene","Verificare inițială a eligibilității pentru fonduri europene","Lexic controlat P0.14"
"/verificare-eligibilitate-fonduri-europene","config/seo-programs.json","pages.21.quickAnswer","Serviciul verifică dacă solicitantul și investiția au o potrivire realistă cu un program de finanțare. Sunt necesare forma juridică, CAEN-ul sau activitatea fermei, localitatea, bugetul, cofinanțarea și documentele existente. Rezultatul poate fi: continuăm pregătirea, ajustăm proiectul sau amânăm până când apar documente ori reguli mai clare.","Serviciul verifică dacă solicitantul și investiția au o potrivire realistă cu un program de finanțare. Sunt necesare forma juridică, CAEN-ul sau activitatea fermei, localitatea, bugetul, contribuția proprie și documentele existente. Rezultatul poate fi: continuăm pregătirea, ajustăm proiectul sau amânăm până când apar documente ori reguli mai clare.","Lexic controlat P0.14"
"/verificare-eligibilitate-fonduri-europene","config/seo-programs.json","pages.21.programName","Verificare eligibilitate","Verificare inițială a eligibilității","Lexic controlat P0.14"
"/verificare-eligibilitate-fonduri-europene","config/seo-programs.json","pages.21.faq.4.0","Cum se calculează cofinanțarea?","Cum se calculează contribuția proprie?","Lexic controlat P0.14"
"/verificare-eligibilitate-fonduri-europene","config/seo-programs.json","pages.21.contentSections.0.paragraphs.0","Concluzia nu este o promisiune de aprobare. Este o filtrare pragmatică: proiectul poate merge mai departe, trebuie ajustat sau ar trebui amânat până când ghidul activ și documentele confirmă încadrarea.","Concluzia nu este o promisiune de aprobare. Este o filtrare pragmatică: proiectul poate merge mai departe, trebuie ajustat sau ar trebui amânat până când documentul oficial aplicabil și documentele confirmă încadrarea.","Lexic controlat P0.14"
"/verificare-eligibilitate-fonduri-europene","config/seo-programs.json","pages.21.contentSections.1.items.3","investiția dorită, bugetul estimat și cofinanțarea disponibilă;","investiția dorită, bugetul estimat și contribuția proprie disponibilă;","Lexic controlat P0.14"
"/verificare-eligibilitate-fonduri-europene","config/seo-programs.json","pages.21.heroPrimaryCta","Verifică eligibilitatea","Cere o verificare inițială","Lexic controlat P0.14"
"/verificare-eligibilitate-fonduri-europene","config/seo-programs.json","pages.21.decisionClose","Dacă documentele, bugetul sau condițiile nu se potrivesc, proiectul se ajustează înainte de depunere. Regulile finale se confirmă în ghidul activ, anexele apelului și sursele oficiale.","Dacă documentele, bugetul sau condițiile nu se potrivesc, proiectul se ajustează înainte de depunere. Regulile finale se confirmă în documentul oficial aplicabil, anexele apelului și sursele oficiale.","Lexic controlat P0.14"
"/eligibilitate-fonduri-europene","config/seo-programs.json","pages.49.funding","valorile, procentele și termenele se confirmă în ghidul apelului activ sau în documentele oficiale publicate pentru sesiunea respectiva.","valorile, procentele și termenele se confirmă în documentul oficial al apelului analizat sau în documentele oficiale publicate pentru sesiunea respectiva.","Lexic controlat P0.14"
"/eligibilitate-fonduri-europene","config/seo-programs.json","pages.49.eligibleExpenses.0","costuri permise de programul activ","costuri permise de programul analizat","Lexic controlat P0.14"
"/eligibilitate-fonduri-europene","config/seo-programs.json","pages.49.evaluation.4","actualizare după ghidul activ","actualizare după documentul oficial aplicabil","Lexic controlat P0.14"
"/eligibilitate-fonduri-europene","config/seo-programs.json","pages.49.examples.1","un beneficiar poate schimba programul după verificarea eligibilității","un beneficiar poate schimba programul după verificarea inițială a eligibilității","Lexic controlat P0.14"
"/eligibilitate-fonduri-europene","config/seo-programs.json","pages.49.faq.0.1","Nu. Conținutul este orientativ și trebuie confirmat cu ghidul apelului activ și documentele solicitantului.","Nu. Conținutul este orientativ și trebuie confirmat cu documentul oficial al apelului analizat și documentele solicitantului.","Lexic controlat P0.14"
"/eligibilitate-fonduri-europene","config/seo-programs.json","pages.49.faq.3.1","Prin verificarea eligibilității, a bugetului, a cheltuielilor neeligibile, a punctajului și a termenelor înainte de depunere.","Prin verificarea inițială a eligibilității, a bugetului, a cheltuielilor neeligibile, a punctajului și a termenelor înainte de depunere.","Lexic controlat P0.14"
"/eligibilitate-fonduri-europene","config/seo-programs.json","pages.49.description","Hub despre eligibilitate: diferența dintre eligibilitate administrativă, tehnică și punctaj, documente, CAEN, cofinanțare și riscuri.","Hub despre eligibilitate: diferența dintre eligibilitate administrativă, tehnică și punctaj, documente, CAEN, contribuție proprie și riscuri.","Lexic controlat P0.14"
"/eligibilitate-fonduri-europene","config/seo-programs.json","pages.49.contentSections.0.tableRows.4.1","cofinanțare, TVA, costuri neeligibile și cash-flow","contribuție proprie, TVA, costuri neeligibile și cash-flow","Lexic controlat P0.14"
"/eligibilitate-fonduri-europene","config/seo-programs.json","pages.49.contentSections.0.links.0.label","Solicită verificare eligibilitate","Solicită verificare inițială","Lexic controlat P0.14"
"/eligibilitate-fonduri-europene","config/seo-programs.json","pages.49.heroPrimaryCta","Verifică eligibilitatea","Cere o verificare inițială","Lexic controlat P0.14"
"/eligibilitate-fonduri-europene","config/seo-programs.json","pages.49.decisionClose","Dacă documentele, bugetul sau condițiile nu se potrivesc, proiectul se ajustează înainte de depunere. Regulile finale se confirmă în ghidul activ, anexele apelului și sursele oficiale.","Dacă documentele, bugetul sau condițiile nu se potrivesc, proiectul se ajustează înainte de depunere. Regulile finale se confirmă în documentul oficial aplicabil, anexele apelului și sursele oficiale.","Lexic controlat P0.14"
"/","index.html","metadata","De la verificarea eligibilității la documentații tehnice și implementare, FABER sprijină pregătirea proiectelor pe baza regulilor aplicabile.","De la verificarea inițială a eligibilității la documentații tehnice și implementare, FABER sprijină pregătirea proiectelor pe baza regulilor aplicabile.","Lexic controlat P0.14"
"/","index.html","visible-copy","Solicită verificare eligibilitate","Solicită verificare inițială","Lexic controlat P0.14"
"/","index.html","visible-copy","Compară beneficiarii, statutul apelului și documentele cerute; decizia de aplicare se ia numai pe ghidul activ.","Compară beneficiarii, statutul apelului și documentele cerute; decizia de aplicare se ia numai pe documentul oficial aplicabil.","Lexic controlat P0.14"
"/","index.html","visible-copy","Verificăm solicitantul, codul CAEN, localitatea, activitatea, documentele disponibile, cofinanțarea și riscurile evidente înainte de recomandare.","Verificăm solicitantul, codul CAEN, localitatea, activitatea, documentele disponibile, contribuția proprie și riscurile evidente înainte de recomandare.","Lexic controlat P0.14"
"/","index.html","visible-copy","Prima decizie este dacă proiectul poate continua în forma propusă. Un CAEN neautorizat, un drept de folosință prea scurt sau un buget fără cofinanțare pot opri pregătirea înainte de redactarea dosarului.","Prima decizie este dacă proiectul poate continua în forma propusă. Un CAEN neautorizat, un drept de folosință prea scurt sau un buget fără contribuție proprie pot opri pregătirea înainte de redactarea dosarului.","Lexic controlat P0.14"
"/","index.html","visible-copy","Urmărim programe pentru firme, fermieri, start-up-uri, IMM-uri și instituții. Statusul, valorile și intensitățile se confirmă în ghidul apelului activ.","Urmărim programe pentru firme, fermieri, start-up-uri, IMM-uri și instituții. Statusul, valorile și intensitățile se confirmă în documentul oficial al apelului analizat.","Lexic controlat P0.14"
"/","index.html","visible-copy","Verificarea eligibilității arată dacă merită pregătit dosarul, dar nu transformă proiectul într-o finanțare sigură. Ghidul activ, anexele și documentele beneficiarului decid direcția.","Verificarea inițială a eligibilității arată dacă merită pregătit dosarul, dar nu transformă proiectul într-o finanțare sigură. Documentul oficial aplicabil, anexele și documentele beneficiarului decid direcția.","Lexic controlat P0.14"
"/","index.html","visible-copy","Solicitant, CAEN, spațiu și cofinanțare","Solicitant, CAEN, spațiu și contribuție proprie","Lexic controlat P0.14"
"/","index.html","visible-copy","Comparăm forma juridică, CAEN-ul sau activitatea agricolă, amplasamentul, investiția, bugetul și cofinanțarea cu cerințele apelului. O lipsă în documentele de spațiu sau în evidențele exploatației poate schimba programul recomandat.","Comparăm forma juridică, CAEN-ul sau activitatea agricolă, amplasamentul, investiția, bugetul și contribuția proprie cu cerințele apelului. O lipsă în documentele de spațiu sau în evidențele exploatației poate schimba programul recomandat.","Lexic controlat P0.14"
"/","index.html","visible-copy","Cum verificam CAEN, documente, cofinanțare, punctaj și riscuri înainte de recomandare.","Cum verificam CAEN, documente, contribuție proprie, punctaj și riscuri înainte de recomandare.","Lexic controlat P0.14"
"/","index.html","visible-copy","Termeni explicati simplu: eligibilitate, cofinanțare, punctaj, CAEN, IMM și ajutor de stat.","Termeni explicati simplu: eligibilitate, contribuție proprie, punctaj, CAEN, IMM și ajutor de stat.","Lexic controlat P0.14"
"/","index.html","visible-copy","Verificare eligibilitate și program potrivit pentru firme din București.","Verificare inițială a eligibilității și program potrivit pentru firme din București.","Lexic controlat P0.14"
"/","index.html","visible-copy","Verificare eligibilitate","Verificare inițială a eligibilității","Lexic controlat P0.14"
"/","index.html","json-ld:$.@graph[5].mainEntity[3].acceptedAnswer.text","Comparăm forma juridică, CAEN-ul sau activitatea agricolă, amplasamentul, investiția, bugetul și cofinanțarea cu cerințele apelului. O lipsă în documentele de spațiu sau în evidențele exploatației poate schimba programul recomandat.","Comparăm forma juridică, CAEN-ul sau activitatea agricolă, amplasamentul, investiția, bugetul și contribuția proprie cu cerințele apelului. O lipsă în documentele de spațiu sau în evidențele exploatației poate schimba programul recomandat.","Lexic controlat P0.14"
"/fonduri-europene","fonduri-europene/index.html","terminology-note","[lipsea explicația]","Pe acest site folosim «contribuție proprie» ca termen principal. În documentele oficiale pot apărea și «cofinanțare» sau «aport»; sensul și calculul se verifică în documentul aplicabil.","Explicație unică pentru sinonimele financiare"
"/fonduri-europene","fonduri-europene/index.html","metadata","Compară programe pentru firme, fermieri și instituții după solicitant, investiție, regiune, documente și cofinanțarea disponibilă.","Compară programe pentru firme, fermieri și instituții după solicitant, investiție, regiune, documente și contribuția proprie disponibilă.","Lexic controlat P0.14"
"/fonduri-europene","fonduri-europene/index.html","visible-copy","Solicită verificare eligibilitate","Solicită verificare inițială","Lexic controlat P0.14"
"/fonduri-europene","fonduri-europene/index.html","visible-copy","confirmă statutul și ghidul activ.","confirmă statutul și documentul oficial aplicabil.","Lexic controlat P0.14"
"/fonduri-europene","fonduri-europene/index.html","json-ld:$.@graph[2].description","Compară programe pentru firme, fermieri și instituții după solicitant, investiție, regiune, documente și cofinanțarea disponibilă.","Compară programe pentru firme, fermieri și instituții după solicitant, investiție, regiune, documente și contribuția proprie disponibilă.","Lexic controlat P0.14"
"/despre-faber","despre-faber/index.html","positioning","Verificăm ce poate fi demonstrat, explicăm ce lipsește și pregătim proiectul numai după ce investiția poate fi legată de un program și de o sursă realistă de finanțare.","Verificare prudentă, documentată și interdisciplinară — consultanță și proiectare — înainte de dosar. Verificăm ce poate fi demonstrat, explicăm ce lipsește și pregătim proiectul numai după ce investiția poate fi legată de un program și de o sursă realistă de finanțare.","Poziționare centrală FABER"
"/despre-faber","despre-faber/index.html","visible-copy","Solicită verificare eligibilitate","Solicită verificare inițială","Lexic controlat P0.14"
"/despre-faber","despre-faber/index.html","visible-copy","FABER este numele public al Atelier de Consultanță. Activitatea reunește verificarea eligibilității, pregătirea cererilor de finanțare și coordonarea documentațiilor tehnice necesare investițiilor. Nu publicăm rate de succes, volume de proiecte sau testimoniale fără dovadă și acord.","FABER este numele public al Atelier de Consultanță. Activitatea reunește verificarea inițială a eligibilității, pregătirea cererilor de finanțare și coordonarea documentațiilor tehnice necesare investițiilor. Nu publicăm rate de succes, volume de proiecte sau testimoniale fără dovadă și acord.","Lexic controlat P0.14"
"/despre-faber","despre-faber/index.html","visible-copy","asigură cofinanțarea și cash-flow-ul;","asigură contribuția proprie și cash-flow-ul;","Lexic controlat P0.14"
"/despre-faber","despre-faber/index.html","visible-copy","Acte de firmă sau fermă, spațiu, oferte și sursa cofinanțării.","Acte de firmă sau fermă, spațiu, oferte și sursa contribuției proprii.","Lexic controlat P0.14"
